,study_id,study_url,latitude,longitude,study,site,site_block,replicate,precip_direction,precip_duration,replicates,delta_precip,map,lrr_s,freq_direction,delta_freq,treatment_start_date,treatment_end_date,storm_size_direction,delta_storm_size,notes
101,Hallett_2017a.csv,https://link.springer.com/article/10.1007/s00442-016-3802-5,39.25,-121.28333,Hallett_2017,SFREC,SFREC - C,1,decr.P,2,8,-45,1034,-0.15415068,decrease,,10/1/12,5/1/15,unchanged,,remove all precip except first germinating rain
102,Hallett_2017a.csv,https://link.springer.com/article/10.1007/s00442-016-3802-6,39.25,-121.28333,Hallett_2017,SFREC,SFREC - C,2,decr.P,2,8,-45,1034,0,decrease,,10/1/12,5/1/15,unchanged,,remove all precip except first germinating rain
103,Hallett_2017a.csv,https://link.springer.com/article/10.1007/s00442-016-3802-7,39.25,-121.28333,Hallett_2017,SFREC,SFREC - F,1,decr.P,2,8,-45,1034,0.693147181,decrease,,10/1/12,5/1/15,unchanged,,remove all precip except first germinating rain
104,Hallett_2017a.csv,https://link.springer.com/article/10.1007/s00442-016-3802-8,39.25,-121.28333,Hallett_2017,SFREC,SFREC - F,2,decr.P,2,8,-45,1034,0.980829253,decrease,,10/1/12,5/1/15,unchanged,,remove all precip except first germinating rain
105,Hallett_2017a.csv,https://link.springer.com/article/10.1007/s00442-016-3802-9,39.25,-121.28333,Hallett_2017,SFREC,SFREC - G,1,decr.P,2,8,-45,1034,0.182321557,decrease,,10/1/12,5/1/15,unchanged,,remove all precip except first germinating rain
106,Hallett_2017a.csv,https://link.springer.com/article/10.1007/s00442-016-3802-10,39.25,-121.28333,Hallett_2017,SFREC,SFREC - G,2,decr.P,2,8,-45,1034,0.182321557,decrease,,10/1/12,5/1/15,unchanged,,remove all precip except first germinating rain
107,Hallett_2017a.csv,https://link.springer.com/article/10.1007/s00442-016-3802-11,39.25,-121.28333,Hallett_2017,SFREC,SFREC - E,2,decr.P,2,8,-45,1034,-0.287682072,decrease,,10/1/12,5/1/15,unchanged,,remove all precip except first germinating rain
108,Hallett_2017a.csv,https://link.springer.com/article/10.1007/s00442-016-3802-12,39.25,-121.28333,Hallett_2017,SFREC,SFREC - H,1,decr.P,2,8,-45,1034,0,decrease,,10/1/12,5/1/15,unchanged,,remove all precip except first germinating rain
109,Hallett_2017a.csv,https://link.springer.com/article/10.1007/s00442-016-3802-13,39.25,-121.28333,Hallett_2017,SFREC,SFREC - H,2,decr.P,2,8,-45,1034,0.223143551,decrease,,10/1/12,5/1/15,unchanged,,remove all precip except first germinating rain
110,Hallett_2017a.csv,https://link.springer.com/article/10.1007/s00442-016-3802-14,39.25,-121.28333,Hallett_2017,SFREC,SFREC - D,2,decr.P,2,8,-45,1034,1.098612289,decrease,,10/1/12,5/1/15,unchanged,,remove all precip except first germinating rain
111,Hallett_2017a.csv,https://link.springer.com/article/10.1007/s00442-016-3802-15,39.25,-121.28333,Hallett_2017,SFREC,SFREC - A,1,decr.P,2,8,-45,1034,-0.15415068,decrease,,10/1/12,5/1/15,unchanged,,remove all precip except first germinating rain
112,Hallett_2017a.csv,https://link.springer.com/article/10.1007/s00442-016-3802-16,39.25,-121.28333,Hallett_2017,SFREC,SFREC - A,2,decr.P,2,8,-45,1034,-0.559615788,decrease,,10/1/12,5/1/15,unchanged,,remove all precip except first germinating rain
113,Hallett_2017a.csv,https://link.springer.com/article/10.1007/s00442-016-3802-17,39.25,-121.28333,Hallett_2017,SFREC,SFREC - D,1,decr.P,2,8,-45,1034,0,decrease,,10/1/12,5/1/15,unchanged,,remove all precip except first germinating rain
114,Hallett_2017a.csv,https://link.springer.com/article/10.1007/s00442-016-3802-18,39.25,-121.28333,Hallett_2017,SFREC,SFREC - E,1,decr.P,2,8,-45,1034,0.223143551,decrease,,10/1/12,5/1/15,unchanged,,remove all precip except first germinating rain
115,Hallett_2017b.csv,https://link.springer.com/article/10.1007/s00442-016-3802-19,39.25,-121.28333,Hallett_2017,SFREC,SFREC - C,2,incr.P,2,8,23,1034,-0.15415068,unchanged,0,10/1/12,5/1/15,increase,1.00,add all water from rain out shelter plots to addition plots (doubling storm size)
116,Hallett_2017b.csv,https://link.springer.com/article/10.1007/s00442-016-3802-20,39.25,-121.28333,Hallett_2017,SFREC,SFREC - F,2,incr.P,2,8,23,1034,0.287682072,unchanged,0,10/1/12,5/1/15,increase,1.00,add all water from rain out shelter plots to addition plots (doubling storm size)
117,Hallett_2017b.csv,https://link.springer.com/article/10.1007/s00442-016-3802-21,39.25,-121.28333,Hallett_2017,SFREC,SFREC - G,1,incr.P,2,8,23,1034,-0.223143551,unchanged,0,10/1/12,5/1/15,increase,1.00,add all water from rain out shelter plots to addition plots (doubling storm size)
118,Hallett_2017b.csv,https://link.springer.com/article/10.1007/s00442-016-3802-22,39.25,-121.28333,Hallett_2017,SFREC,SFREC - G,2,incr.P,2,8,23,1034,-0.223143551,unchanged,0,10/1/12,5/1/15,increase,1.00,add all water from rain out shelter plots to addition plots (doubling storm size)
119,Hallett_2017b.csv,https://link.springer.com/article/10.1007/s00442-016-3802-23,39.25,-121.28333,Hallett_2017,SFREC,SFREC - F,1,incr.P,2,8,23,1034,0.510825624,unchanged,0,10/1/12,5/1/15,increase,1.00,add all water from rain out shelter plots to addition plots (doubling storm size)
120,Hallett_2017b.csv,https://link.springer.com/article/10.1007/s00442-016-3802-24,39.25,-121.28333,Hallett_2017,SFREC,SFREC - B,1,incr.P,2,8,23,1034,-0.405465108,unchanged,0,10/1/12,5/1/15,increase,1.00,add all water from rain out shelter plots to addition plots (doubling storm size)
121,Hallett_2017b.csv,https://link.springer.com/article/10.1007/s00442-016-3802-25,39.25,-121.28333,Hallett_2017,SFREC,SFREC - B,2,incr.P,2,8,23,1034,-0.405465108,unchanged,0,10/1/12,5/1/15,increase,1.00,add all water from rain out shelter plots to addition plots (doubling storm size)
122,Hallett_2017b.csv,https://link.springer.com/article/10.1007/s00442-016-3802-26,39.25,-121.28333,Hallett_2017,SFREC,SFREC - C,1,incr.P,2,8,23,1034,-0.15415068,unchanged,0,10/1/12,5/1/15,increase,1.00,add all water from rain out shelter plots to addition plots (doubling storm size)
123,Hallett_2017b.csv,https://link.springer.com/article/10.1007/s00442-016-3802-27,39.25,-121.28333,Hallett_2017,SFREC,SFREC - A,1,incr.P,2,8,23,1034,-0.336472237,unchanged,0,10/1/12,5/1/15,increase,1.00,add all water from rain out shelter plots to addition plots (doubling storm size)
124,Hallett_2017b.csv,https://link.springer.com/article/10.1007/s00442-016-3802-28,39.25,-121.28333,Hallett_2017,SFREC,SFREC - A,2,incr.P,2,8,23,1034,-0.15415068,unchanged,0,10/1/12,5/1/15,increase,1.00,add all water from rain out shelter plots to addition plots (doubling storm size)
125,Hallett_2017b.csv,https://link.springer.com/article/10.1007/s00442-016-3802-29,39.25,-121.28333,Hallett_2017,SFREC,SFREC - D,1,incr.P,2,8,23,1034,1.386294361,unchanged,0,10/1/12,5/1/15,increase,1.00,add all water from rain out shelter plots to addition plots (doubling storm size)
126,Hallett_2017b.csv,https://link.springer.com/article/10.1007/s00442-016-3802-30,39.25,-121.28333,Hallett_2017,SFREC,SFREC - D,2,incr.P,2,8,23,1034,1.791759469,unchanged,0,10/1/12,5/1/15,increase,1.00,add all water from rain out shelter plots to addition plots (doubling storm size)
127,Hallett_2017b.csv,https://link.springer.com/article/10.1007/s00442-016-3802-31,39.25,-121.28333,Hallett_2017,SFREC,SFREC - E,1,incr.P,2,8,23,1034,0,unchanged,0,10/1/12,5/1/15,increase,1.00,add all water from rain out shelter plots to addition plots (doubling storm size)
128,Hallett_2017b.csv,https://link.springer.com/article/10.1007/s00442-016-3802-32,39.25,-121.28333,Hallett_2017,SFREC,SFREC - E,2,incr.P,2,8,23,1034,0,unchanged,0,10/1/12,5/1/15,increase,1.00,add all water from rain out shelter plots to addition plots (doubling storm size)
129,Hallett_2017b.csv,https://link.springer.com/article/10.1007/s00442-016-3802-33,39.25,-121.28333,Hallett_2017,SFREC,SFREC - H,1,incr.P,2,8,23,1034,-0.693147181,unchanged,0,10/1/12,5/1/15,increase,1.00,add all water from rain out shelter plots to addition plots (doubling storm size)
130,Hallett_2017b.csv,https://link.springer.com/article/10.1007/s00442-016-3802-34,39.25,-121.28333,Hallett_2017,SFREC,SFREC - H,2,incr.P,2,8,23,1034,0.223143551,unchanged,0,10/1/12,5/1/15,increase,1.00,add all water from rain out shelter plots to addition plots (doubling storm size)
131,Harpole_2007.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2486.2007.01447.x,33.624,-117.755,Harpole_2007,Irvine.Ranch.Land.Reserve,Irvine.Ranch.Land.Reserve - A,1,incr.P,0.2,5,31,285,0,unchanged,0,3/20/06,6/1/06,,,added 69mm of additional rainfall in five applications from late March to late May 2006
132,Harpole_2007.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2486.2007.01447.x,33.624,-117.755,Harpole_2007,Irvine.Ranch.Land.Reserve,Irvine.Ranch.Land.Reserve - B,2,incr.P,0.2,5,31,285,0.200670695,unchanged,0,3/20/06,6/1/06,,,added 69mm of additional rainfall in five applications from late March to late May 2007
133,Harpole_2007.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2486.2007.01447.x,33.624,-117.755,Harpole_2007,Irvine.Ranch.Land.Reserve,Irvine.Ranch.Land.Reserve - C,3,incr.P,0.2,5,31,285,0.356674944,unchanged,0,3/20/06,6/1/06,,,added 69mm of additional rainfall in five applications from late March to late May 2008
134,Harpole_2007.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2486.2007.01447.x,33.624,-117.755,Harpole_2007,Irvine.Ranch.Land.Reserve,Irvine.Ranch.Land.Reserve - D,4,incr.P,0.2,5,31,285,-0.251314428,unchanged,0,3/20/06,6/1/06,,,added 69mm of additional rainfall in five applications from late March to late May 2009
135,Harpole_2007.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2486.2007.01447.x,33.624,-117.755,Harpole_2007,Irvine.Ranch.Land.Reserve,Irvine.Ranch.Land.Reserve - E,5,incr.P,0.2,5,31,285,0.251314428,unchanged,0,3/20/06,6/1/06,,,added 69mm of additional rainfall in five applications from late March to late May 2010
136,Holub_2013a.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1654-1103.2012.01487.x,48.81666667,16,Holub_2013,lowland,lowland - A,1,decr.P,2,4,-50,495,-0.117783036,unchanged,0,1/1/06,12/31/08,decrease,-0.50,
137,Holub_2013a.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1654-1103.2012.01487.x,48.81666667,16,Holub_2013,lowland,lowland - A,2,decr.P,2,4,-50,495,0.485507816,unchanged,0,1/1/06,1/1/09,decrease,-0.50,
138,Holub_2013a.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1654-1103.2012.01487.x,48.81666667,16,Holub_2013,lowland,lowland - A,3,decr.P,2,4,-50,495,0.087011377,unchanged,0,1/1/06,1/2/09,decrease,-0.50,
139,Holub_2013a.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1654-1103.2012.01487.x,48.81666667,16,Holub_2013,lowland,lowland - A,4,decr.P,2,4,-50,495,0,unchanged,0,1/1/06,1/3/09,decrease,-0.50,
140,Holub_2013b.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1654-1103.2012.01487.x,48.81666667,16,Holub_2013,lowland,lowland - A,1,incr.P,2,4,50,495,0.105360516,unchanged,0,1/1/06,1/4/09,increase,0.50,
141,Holub_2013b.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1654-1103.2012.01487.x,48.81666667,16,Holub_2013,lowland,lowland - A,2,incr.P,2,4,50,495,0.223143551,unchanged,0,1/1/06,1/5/09,increase,0.50,
142,Holub_2013b.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1654-1103.2012.01487.x,48.81666667,16,Holub_2013,lowland,lowland - A,3,incr.P,2,4,50,495,0,unchanged,0,1/1/06,1/6/09,increase,0.50,
143,Holub_2013b.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1654-1103.2012.01487.x,48.81666667,16,Holub_2013,lowland,lowland - A,4,incr.P,2,4,50,495,-0.143100844,unchanged,0,1/1/06,1/7/09,increase,0.50,
144,Holub_2013c.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1654-1103.2012.01487.x,49.5,18.53333333,Holub_2013,mountain,mountain - A,1,decr.P,2,4,-50,1198,-0.200670695,unchanged,0,1/1/06,1/8/09,decrease,-0.50,
145,Holub_2013c.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1654-1103.2012.01487.x,49.5,18.53333333,Holub_2013,mountain,mountain - A,2,decr.P,2,4,-50,1198,0.09531018,unchanged,0,1/1/06,1/9/09,decrease,-0.50,
146,Holub_2013c.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1654-1103.2012.01487.x,49.5,18.53333333,Holub_2013,mountain,mountain - A,3,decr.P,2,4,-50,1198,-0.09531018,unchanged,0,1/1/06,1/10/09,decrease,-0.50,
147,Holub_2013c.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1654-1103.2012.01487.x,49.5,18.53333333,Holub_2013,mountain,mountain - A,4,decr.P,2,4,-50,1198,-0.318453731,unchanged,0,1/1/06,1/11/09,decrease,-0.50,
148,Holub_2013d.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1654-1103.2012.01487.x,49.5,18.53333333,Holub_2013,mountain,mountain - A,1,incr.P,2,4,50,1198,-0.09531018,unchanged,0,1/1/06,1/12/09,increase,0.50,
149,Holub_2013d.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1654-1103.2012.01487.x,49.5,18.53333333,Holub_2013,mountain,mountain - A,2,incr.P,2,4,50,1198,0.09531018,unchanged,0,1/1/06,1/13/09,increase,0.50,
150,Holub_2013d.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1654-1103.2012.01487.x,49.5,18.53333333,Holub_2013,mountain,mountain - A,3,incr.P,2,4,50,1198,-0.451985124,unchanged,0,1/1/06,1/14/09,increase,0.50,
151,Holub_2013d.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1654-1103.2012.01487.x,49.5,18.53333333,Holub_2013,mountain,mountain - A,4,incr.P,2,4,50,1198,-0.200670695,unchanged,0,1/1/06,1/15/09,increase,0.50,
152,Kahmen_2005.csv,https://www.jstor.org/stable/3599220,50.43861404,11.48197807,Kahmen_2005,SG,SG - A,1,decr.P,1,19,-25,913,-0.051293294,decrease,,4/23/03,6/12/03,unchanged,0.00,all precip intercepted in treatment range
153,Kahmen_2005.csv,https://www.jstor.org/stable/3599221,50.43861404,11.48197807,Kahmen_2005,SG,SG - B,2,decr.P,1,19,-25,913,-0.064538521,decrease,,4/23/03,6/12/03,unchanged,0.00,all precip intercepted in treatment range
154,Kahmen_2005.csv,https://www.jstor.org/stable/3599222,50.43861404,11.48197807,Kahmen_2005,SG,SG - C,3,decr.P,1,19,-25,913,-0.051293294,decrease,,4/23/03,6/12/03,unchanged,0.00,all precip intercepted in treatment range
155,Kahmen_2005.csv,https://www.jstor.org/stable/3599223,50.43861404,11.48197807,Kahmen_2005,SG,SG - D,4,decr.P,1,19,-25,913,0,decrease,,4/23/03,6/12/03,unchanged,0.00,all precip intercepted in treatment range
156,Kahmen_2005.csv,https://www.jstor.org/stable/3599224,50.43861404,11.48197807,Kahmen_2005,SG,SG - E,5,decr.P,1,19,-25,913,-0.042559614,decrease,,4/23/03,6/12/03,unchanged,0.00,all precip intercepted in treatment range
157,Kahmen_2005.csv,https://www.jstor.org/stable/3599225,50.43861404,11.48197807,Kahmen_2005,SG,SG - F,6,decr.P,1,19,-25,913,0.03509132,decrease,,4/23/03,6/12/03,unchanged,0.00,all precip intercepted in treatment range
158,Kahmen_2005.csv,https://www.jstor.org/stable/3599226,50.43861404,11.48197807,Kahmen_2005,SG,SG - G,7,decr.P,1,19,-25,913,0.09531018,decrease,,4/23/03,6/12/03,unchanged,0.00,all precip intercepted in treatment range
159,Kahmen_2005.csv,https://www.jstor.org/stable/3599227,50.43861404,11.48197807,Kahmen_2005,SG,SG - H,8,decr.P,1,19,-25,913,0.143100844,decrease,,4/23/03,6/12/03,unchanged,0.00,all precip intercepted in treatment range
160,Kahmen_2005.csv,https://www.jstor.org/stable/3599228,50.43861404,11.48197807,Kahmen_2005,SG,SG - I,9,decr.P,1,19,-25,913,-0.143100844,decrease,,4/23/03,6/12/03,unchanged,0.00,all precip intercepted in treatment range
161,Kahmen_2005.csv,https://www.jstor.org/stable/3599229,50.43861404,11.48197807,Kahmen_2005,SG,SG - J,10,decr.P,1,19,-25,913,0.033901552,decrease,,4/23/03,6/12/03,unchanged,0.00,all precip intercepted in treatment range
162,Kahmen_2005.csv,https://www.jstor.org/stable/3599230,50.43861404,11.48197807,Kahmen_2005,SG,SG - K,11,decr.P,1,19,-25,913,0,decrease,,4/23/03,6/12/03,unchanged,0.00,all precip intercepted in treatment range
163,Kahmen_2005.csv,https://www.jstor.org/stable/3599231,50.43861404,11.48197807,Kahmen_2005,SG,SG - L,12,decr.P,1,19,-25,913,0.262364264,decrease,,4/23/03,6/12/03,unchanged,0.00,all precip intercepted in treatment range
164,Kahmen_2005.csv,https://www.jstor.org/stable/3599232,50.43861404,11.48197807,Kahmen_2005,SG,SG - M,13,decr.P,1,19,-25,913,0.032789823,decrease,,4/23/03,6/12/03,unchanged,0.00,all precip intercepted in treatment range
165,Kahmen_2005.csv,https://www.jstor.org/stable/3599233,50.43861404,11.48197807,Kahmen_2005,SG,SG - N,14,decr.P,1,19,-25,913,0,decrease,,4/23/03,6/12/03,unchanged,0.00,all precip intercepted in treatment range
166,Kahmen_2005.csv,https://www.jstor.org/stable/3599234,50.43861404,11.48197807,Kahmen_2005,SG,SG - O,15,decr.P,1,19,-25,913,-0.026668247,decrease,,4/23/03,6/12/03,unchanged,0.00,all precip intercepted in treatment range
167,Kahmen_2005.csv,https://www.jstor.org/stable/3599235,50.43861404,11.48197807,Kahmen_2005,SG,SG - P,16,decr.P,1,19,-25,913,0.057158414,decrease,,4/23/03,6/12/03,unchanged,0.00,all precip intercepted in treatment range
168,Kahmen_2005.csv,https://www.jstor.org/stable/3599236,50.43861404,11.48197807,Kahmen_2005,SG,SG - Q,17,decr.P,1,19,-25,913,-0.174353387,decrease,,4/23/03,6/12/03,unchanged,0.00,all precip intercepted in treatment range
169,Kahmen_2005.csv,https://www.jstor.org/stable/3599237,50.43861404,11.48197807,Kahmen_2005,SG,SG - R,18,decr.P,1,19,-25,913,-0.174353387,decrease,,4/23/03,6/12/03,unchanged,0.00,all precip intercepted in treatment range
170,Kahmen_2005.csv,https://www.jstor.org/stable/3599238,50.43861404,11.48197807,Kahmen_2005,SG,SG - S,19,decr.P,1,19,-25,913,-0.090971778,decrease,,4/23/03,6/12/03,unchanged,0.00,all precip intercepted in treatment range
171,Lauenroth_2014.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/jvs.12486,40.825,-104.75,Lauenroth_2014,SGS-LTER.Field.Station,SGS-LTER.Field.Station - A,1,incr.P,14,10,96,372,0.405465108,increase,,5/1/09,10/1/11,,,added difference between observed weekly rainfall and double the long-term average rainfall once weekly. 
172,Lauenroth_2014.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/jvs.12487,40.825,-104.75,Lauenroth_2014,SGS-LTER.Field.Station,SGS-LTER.Field.Station - A,10,incr.P,14,10,96,372,0.510825624,increase,,5/2/09,10/2/11,,,added difference between observed weekly rainfall and double the long-term average rainfall once weekly. 
173,Lauenroth_2014.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/jvs.12488,40.825,-104.75,Lauenroth_2014,SGS-LTER.Field.Station,SGS-LTER.Field.Station - A,2,incr.P,14,10,96,372,0.405465108,increase,,5/3/09,10/3/11,,,added difference between observed weekly rainfall and double the long-term average rainfall once weekly. 
174,Lauenroth_2014.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/jvs.12489,40.825,-104.75,Lauenroth_2014,SGS-LTER.Field.Station,SGS-LTER.Field.Station - A,3,incr.P,14,10,96,372,0.182321557,increase,,5/4/09,10/4/11,,,added difference between observed weekly rainfall and double the long-term average rainfall once weekly. 
175,Lauenroth_2014.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/jvs.12490,40.825,-104.75,Lauenroth_2014,SGS-LTER.Field.Station,SGS-LTER.Field.Station - A,4,incr.P,14,10,96,372,0.223143551,increase,,5/5/09,10/5/11,,,added difference between observed weekly rainfall and double the long-term average rainfall once weekly. 
176,Lauenroth_2014.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/jvs.12491,40.825,-104.75,Lauenroth_2014,SGS-LTER.Field.Station,SGS-LTER.Field.Station - A,5,incr.P,14,10,96,372,0.182321557,increase,,5/6/09,10/6/11,,,added difference between observed weekly rainfall and double the long-term average rainfall once weekly. 
177,Lauenroth_2014.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/jvs.12492,40.825,-104.75,Lauenroth_2014,SGS-LTER.Field.Station,SGS-LTER.Field.Station - A,6,incr.P,14,10,96,372,0.182321557,increase,,5/7/09,10/7/11,,,added difference between observed weekly rainfall and double the long-term average rainfall once weekly. 
178,Lauenroth_2014.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/jvs.12493,40.825,-104.75,Lauenroth_2014,SGS-LTER.Field.Station,SGS-LTER.Field.Station - A,7,incr.P,14,10,96,372,0,increase,,5/8/09,10/8/11,,,added difference between observed weekly rainfall and double the long-term average rainfall once weekly. 
179,Lauenroth_2014.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/jvs.12494,40.825,-104.75,Lauenroth_2015,SGS-LTER.Field.Station,SGS-LTER.Field.Station - A,8,incr.P,14,10,96,372,0.405465108,increase,,5/9/09,10/9/11,,,added difference between observed weekly rainfall and double the long-term average rainfall once weekly. 
180,Lauenroth_2014.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/jvs.12495,40.825,-104.75,Lauenroth_2014,SGS-LTER.Field.Station,SGS-LTER.Field.Station - A,9,incr.P,14,10,96,372,0.223143551,increase,,5/10/09,10/10/11,,,added difference between observed weekly rainfall and double the long-term average rainfall once weekly. 
181,Lauenroth_2014.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/jvs.12496,40.825,-104.75,Lauenroth_2014,SGS-LTER.Field.Station,SGS-LTER.Field.Station - B,1,incr.P,14,10,96,372,0.510825624,increase,,5/11/09,10/11/11,,,added difference between observed weekly rainfall and double the long-term average rainfall once weekly. 
182,Lauenroth_2014.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/jvs.12497,40.825,-104.75,Lauenroth_2014,SGS-LTER.Field.Station,SGS-LTER.Field.Station - B,10,incr.P,14,10,96,372,0.223143551,increase,,5/12/09,10/12/11,,,added difference between observed weekly rainfall and double the long-term average rainfall once weekly. 
183,Lauenroth_2014.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/jvs.12498,40.825,-104.75,Lauenroth_2014,SGS-LTER.Field.Station,SGS-LTER.Field.Station - B,2,incr.P,14,10,96,372,0.336472237,increase,,5/13/09,10/13/11,,,added difference between observed weekly rainfall and double the long-term average rainfall once weekly. 
184,Lauenroth_2014.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/jvs.12499,40.825,-104.75,Lauenroth_2014,SGS-LTER.Field.Station,SGS-LTER.Field.Station - B,3,incr.P,14,10,96,372,0.223143551,increase,,5/14/09,10/14/11,,,added difference between observed weekly rainfall and double the long-term average rainfall once weekly. 
185,Lauenroth_2014.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/jvs.12500,40.825,-104.75,Lauenroth_2014,SGS-LTER.Field.Station,SGS-LTER.Field.Station - B,4,incr.P,14,10,96,372,0.223143551,increase,,5/15/09,10/15/11,,,added difference between observed weekly rainfall and double the long-term average rainfall once weekly. 
186,Lauenroth_2014.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/jvs.12501,40.825,-104.75,Lauenroth_2014,SGS-LTER.Field.Station,SGS-LTER.Field.Station - B,5,incr.P,14,10,96,372,0.693147181,increase,,5/16/09,10/16/11,,,added difference between observed weekly rainfall and double the long-term average rainfall once weekly. 
187,Lauenroth_2014.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/jvs.12502,40.825,-104.75,Lauenroth_2014,SGS-LTER.Field.Station,SGS-LTER.Field.Station - B,6,incr.P,14,10,96,372,0.223143551,increase,,5/17/09,10/17/11,,,added difference between observed weekly rainfall and double the long-term average rainfall once weekly. 
188,Lauenroth_2014.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/jvs.12503,40.825,-104.75,Lauenroth_2014,SGS-LTER.Field.Station,SGS-LTER.Field.Station - B,7,incr.P,14,10,96,372,0.223143551,increase,,5/18/09,10/18/11,,,added difference between observed weekly rainfall and double the long-term average rainfall once weekly. 
189,Lauenroth_2014.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/jvs.12504,40.825,-104.75,Lauenroth_2014,SGS-LTER.Field.Station,SGS-LTER.Field.Station - B,8,incr.P,14,10,96,372,0.405465108,increase,,5/19/09,10/19/11,,,added difference between observed weekly rainfall and double the long-term average rainfall once weekly. 
190,Lauenroth_2014.csv,https://onlinelibrary.wiley.com/doi/full/10.1111/jvs.12505,40.825,-104.75,Lauenroth_2014,SGS-LTER.Field.Station,SGS-LTER.Field.Station - B,9,incr.P,14,10,96,372,0.223143551,increase,,5/20/09,10/20/11,,,added difference between observed weekly rainfall and double the long-term average rainfall once weekly. 
191,Ludewig_2012a.csv,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0124140,52.78333333,12.18333,Ludewig_2012,Kuhlhausen,Kuhlhausen - A,1,decr.P,3,7,14,537,-0.051293294,unchanged,0,7/1/09,10/1/11,decrease,-0.25,
192,Ludewig_2012a.csv,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0124141,52.78333333,12.18333,Ludewig_2012,Kuhlhausen,Kuhlhausen - B,2,decr.P,3,7,14,537,0,unchanged,0,7/1/09,10/1/11,decrease,-0.25,
193,Ludewig_2012a.csv,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0124142,52.78333333,12.18333,Ludewig_2012,Kuhlhausen,Kuhlhausen - C,3,decr.P,3,7,14,537,-0.09531018,unchanged,0,7/1/09,10/1/11,decrease,-0.25,
194,Ludewig_2012a.csv,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0124143,52.78333333,12.18333,Ludewig_2012,Kuhlhausen,Kuhlhausen - D,4,decr.P,3,7,14,537,0.100083459,unchanged,0,7/1/09,10/1/11,decrease,-0.25,
195,Ludewig_2012a.csv,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0124144,52.78333333,12.18333,Ludewig_2012,Kuhlhausen,Kuhlhausen - E,5,decr.P,3,7,14,537,-0.211309094,unchanged,0,7/1/09,10/1/11,decrease,-0.25,
196,Ludewig_2012a.csv,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0124145,52.78333333,12.18333,Ludewig_2012,Kuhlhausen,Kuhlhausen - F,6,decr.P,3,7,14,537,0,unchanged,0,7/1/09,10/1/11,decrease,-0.25,
197,Ludewig_2012a.csv,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0124146,52.78333333,12.18333,Ludewig_2012,Kuhlhausen,Kuhlhausen - G,7,decr.P,3,7,14,537,0.162518929,unchanged,0,7/1/09,10/1/11,decrease,-0.25,
198,Ludewig_2012b.csv,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0124147,53.31666667,10.95,Ludewig_2012,Sueckau,Sueckau - A,1,decr.P,3,7,14,629,0,unchanged,0,7/1/09,10/1/11,decrease,-0.25,
